Time,Wind_power/MW
03/19/2021 00:00,1032
03/19/2021 00:05,968
03/19/2021 00:10,915
03/19/2021 00:15,867
03/19/2021 00:20,830
03/19/2021 00:25,797
03/19/2021 00:30,780
03/19/2021 00:35,729
03/19/2021 00:40,709
03/19/2021 00:45,717
03/19/2021 00:50,754
03/19/2021 00:55,752
03/19/2021 01:00,733
03/19/2021 01:05,710
03/19/2021 01:10,694
03/19/2021 01:15,713
03/19/2021 01:20,708
03/19/2021 01:25,690
03/19/2021 01:30,687
03/19/2021 01:35,735
03/19/2021 01:40,698
03/19/2021 01:45,665
03/19/2021 01:50,620
03/19/2021 01:55,589
03/19/2021 02:00,580
03/19/2021 02:05,544
03/19/2021 02:10,548
03/19/2021 02:15,507
03/19/2021 02:20,500
03/19/2021 02:25,486
03/19/2021 02:30,440
03/19/2021 02:35,434
03/19/2021 02:40,436
03/19/2021 02:45,444
03/19/2021 02:50,470
03/19/2021 02:55,489
03/19/2021 03:00,498
03/19/2021 03:05,469
03/19/2021 03:10,419
03/19/2021 03:15,427
03/19/2021 03:20,407
03/19/2021 03:25,398
03/19/2021 03:30,373
03/19/2021 03:35,367
03/19/2021 03:40,352
03/19/2021 03:45,385
03/19/2021 03:50,436
03/19/2021 03:55,445
03/19/2021 04:00,451
03/19/2021 04:05,452
03/19/2021 04:10,457
03/19/2021 04:15,456
03/19/2021 04:20,505
03/19/2021 04:25,535
03/19/2021 04:30,533
03/19/2021 04:35,526
03/19/2021 04:40,514
03/19/2021 04:45,511
03/19/2021 04:50,525
03/19/2021 04:55,529
03/19/2021 05:00,525
03/19/2021 05:05,518
03/19/2021 05:10,487
03/19/2021 05:15,429
03/19/2021 05:20,389
03/19/2021 05:25,350
03/19/2021 05:30,313
03/19/2021 05:35,280
03/19/2021 05:40,270
03/19/2021 05:45,249
03/19/2021 05:50,241
03/19/2021 05:55,239
03/19/2021 06:00,218
03/19/2021 06:05,206
03/19/2021 06:10,211
03/19/2021 06:15,219
