Time,Time/s,Wind_power/MW,Time/s,"300 sec 
truncated t0 100 sec ",Total area,"normalized 
area/KW",Total area
03/19/2021 00:00,0,1032,,,46741,,8.000000004
03/19/2021 00:05,1,968,0,915,,0.156607689,
03/19/2021 00:10,2,915,1,797,,0.136411288,
03/19/2021 00:15,3,867,2,709,,0.121349565,
03/19/2021 00:20,4,830,3,752,,0.12870927,
03/19/2021 00:25,5,797,4,694,,0.118782225,
03/19/2021 00:30,6,780,5,690,,0.118097602,
03/19/2021 00:35,7,729,6,698,,0.119466849,
03/19/2021 00:40,8,709,7,589,,0.100810851,
03/19/2021 00:45,9,717,8,548,,0.093793458,
03/19/2021 00:50,10,754,9,486,,0.083181789,
03/19/2021 00:55,11,752,10,436,,0.074623992,
03/19/2021 01:00,12,733,11,489,,0.083695257,
03/19/2021 01:05,13,710,12,419,,0.071714341,
03/19/2021 01:10,14,694,13,398,,0.068120066,
03/19/2021 01:15,15,713,14,352,,0.060246892,
03/19/2021 01:20,16,708,15,445,,0.076164395,
03/19/2021 01:25,17,690,16,457,,0.078218267,
03/19/2021 01:30,18,687,17,535,,0.09156843,
03/19/2021 01:35,19,735,18,514,,0.087974155,
03/19/2021 01:40,20,698,19,529,,0.090541495,
03/19/2021 01:45,21,665,20,487,,0.083352945,
03/19/2021 01:50,22,620,21,350,,0.059904581,
03/19/2021 01:55,23,589,22,270,,0.046212105,
03/19/2021 02:00,24,580,23,239,,0.040906271,
03/19/2021 02:05,25,544,24,211,,0.036113904,
03/19/2021 02:10,26,548,25,192,,0.032861941,
03/19/2021 02:15,27,507,26,187,,0.032006162,
03/19/2021 02:20,28,500,27,229,,0.039194711,
03/19/2021 02:25,29,486,28,240,,0.041077427,
03/19/2021 02:30,30,440,29,314,,0.053742967,
03/19/2021 02:35,31,434,30,339,,0.058021865,
03/19/2021 02:40,32,436,31,319,,0.054598746,
03/19/2021 02:45,33,444,32,335,,0.057337241,
03/19/2021 02:50,34,470,33,274,,0.046896729,
03/19/2021 02:55,35,489,34,225,,0.038510088,
03/19/2021 03:00,36,498,35,203,,0.034744657,
03/19/2021 03:05,37,469,36,171,,0.029267667,
03/19/2021 03:10,38,419,37,142,,0.024304144,
03/19/2021 03:15,39,427,38,148,,0.02533108,
03/19/2021 03:20,40,407,39,142,,0.024304144,
03/19/2021 03:25,41,398,40,171,,0.029267667,
03/19/2021 03:30,42,373,41,219,,0.037483152,
03/19/2021 03:35,43,367,42,241,,0.041248583,
03/19/2021 03:40,44,352,43,225,,0.038510088,
03/19/2021 03:45,45,385,44,228,,0.039023555,
03/19/2021 03:50,46,436,45,214,,0.036627372,
03/19/2021 03:55,47,445,46,236,,0.040392803,
03/19/2021 04:00,48,451,47,215,,0.036798528,
03/19/2021 04:05,49,452,48,231,,0.039537023,
03/19/2021 04:10,50,457,49,262,,0.044842857,
03/19/2021 04:15,51,456,50,289,,0.049464068,
03/19/2021 04:20,52,505,51,253,,0.043302454,
03/19/2021 04:25,53,535,52,249,,0.04261783,
03/19/2021 04:30,54,533,53,256,,0.043815922,
03/19/2021 04:35,55,526,54,234,,0.040050491,
03/19/2021 04:40,56,514,55,216,,0.036969684,
03/19/2021 04:45,57,511,56,226,,0.038681243,
03/19/2021 04:50,58,525,57,197,,0.033717721,
03/19/2021 04:55,59,529,58,208,,0.035600436,
03/19/2021 05:00,60,525,59,187,,0.032006162,
03/19/2021 05:05,61,518,60,158,,0.027042639,
03/19/2021 05:10,62,487,61,147,,0.025159924,
03/19/2021 05:15,63,429,62,114,,0.019511778,
03/19/2021 05:20,64,389,63,109,,0.018655998,
03/19/2021 05:25,65,350,64,160,,0.027384951,
03/19/2021 05:30,66,313,65,195,,0.033375409,
03/19/2021 05:35,67,280,66,185,,0.03166385,
03/19/2021 05:40,68,270,67,162,,0.027727263,
03/19/2021 05:45,69,249,68,154,,0.026358015,
03/19/2021 05:50,70,241,69,332,,0.056823774,
03/19/2021 05:55,71,239,70,420,,0.071885497,
03/19/2021 06:00,72,218,71,451,,0.077191331,
03/19/2021 06:05,73,206,72,613,,0.104918594,
03/19/2021 06:10,74,211,73,744,,0.127340023,
03/19/2021 06:15,75,219,74,867,,0.148392204,
03/19/2021 06:20,76,215,75,742,,0.126997711,
03/19/2021 06:25,77,192,76,716,,0.122547656,
03/19/2021 06:30,78,184,77,750,,0.128366958,
03/19/2021 06:35,79,176,78,837,,0.143257526,
03/19/2021 06:40,80,187,79,1028,,0.175948311,
03/19/2021 06:45,81,213,80,990,,0.169444385,
03/19/2021 06:50,82,223,81,638,,0.109197493,
03/19/2021 06:55,83,229,82,617,,0.105603218,
03/19/2021 07:00,84,240,83,551,,0.094306925,
03/19/2021 07:05,85,246,84,537,,0.091910742,
03/19/2021 07:10,86,240,85,529,,0.090541495,
03/19/2021 07:15,87,262,86,585,,0.100126228,
03/19/2021 07:20,88,294,87,656,,0.1122783,
03/19/2021 07:25,89,314,88,711,,0.121691877,
03/19/2021 07:30,90,315,89,793,,0.135726664,
03/19/2021 07:35,91,326,90,804,,0.137609379,
03/19/2021 07:40,92,339,91,786,,0.134528572,
03/19/2021 07:45,93,354,92,863,,0.14770758,
03/19/2021 07:50,94,337,93,897,,0.153526882,
03/19/2021 07:55,95,319,94,922,,0.157805781,
03/19/2021 08:00,96,337,95,981,,0.167903982,
